user,from wS/stS (S),from wOS/stS (S),Total (S),Distribution %,Compensation (S),,,
0x10891d6735b76b5435db8e446ecda3b640322038,"6,999,405",0,"6,999,405",25.80%,"1,503,953.39",,Total exploit amount (S):,"27,129,103"
0x2a318be0876a44e95fb9433359e2487914e1b42d,"2,427,112",0,"2,427,112",8.95%,"521,510.43",,(Only users with > $1),
0xd83333704f3d45859a1d4563faf912e6029ba97e,"1,277,218",0,"1,277,218",4.71%,"274,434.14",,Total compensation,"5,829,196"
0x8b78c25279649915b38f1ab3940902c06a928256,"1,245,322",0,"1,245,322",4.59%,"267,580.82",,,
0xbb2d41acfea24a3a2ad4a6f95c3ace1cc98c6ed6,"1,153,584",0,"1,153,584",4.25%,"247,869.20",,,
0xdc46bb979bf5102d78ece8e9a91dbaec932e756a,"862,167",0,"862,167",3.18%,"185,252.79",,,
0xc469ecb73159b88957965758002bbe1807532814,"681,399","143,480","824,879",3.04%,"177,240.60",,,
0x7de2a984a5cfa87278693286b41222f193ede3a1,"510,854",0,"510,854",1.88%,"109,766.63",,,
0x406afd91afd3ab5f6f678ef36dd3325712077495,"432,840",0,"432,840",1.60%,"93,003.72",,,
0x928631fc0c1e881691a53e42fdd751abfd18718d,"406,930",0,"406,930",1.50%,"87,436.52",,,
0x3bc239f8cc5e2db16121421e3fe2948234ef4161,"406,877",0,"406,877",1.50%,"87,425.16",,,
0x5932fc60706a936a7051707b21dbe9e2736d353e,"379,861",0,"379,861",1.40%,"81,620.27",,,
0xb5fac0434ba279dae74085eefa047b9d4cbf7252,"358,207",0,"358,207",1.32%,"76,967.48",,,
0xf53a038e227633aeab9ac80c90c29b1edfd43e58,"308,545",0,"308,545",1.14%,"66,296.70",,,
0x7134328210125e1f149d01affb62fe12a4d0e640,"263,710",0,"263,710",0.97%,"56,663.11",,,
0xe6e32165651b869eea2c943cb9de0e39cab35983,"254,957",0,"254,957",0.94%,"54,782.24",,,
0xa8275e1074ae5308cdd5c8cc369839b3d70af475,"249,918",0,"249,918",0.92%,"53,699.59",,,
0x61bcfcf4c5229d4a865a3da09fd0c16f28507e09,"226,799",0,"226,799",0.84%,"48,732.00",,,
0x888a555349c75353213c9610fee87587fd6f8a6a,"215,923",0,"215,923",0.80%,"46,395.13",,,
0xac207c599e4a07f9a8cc5e9cf49b02e20ab7ba69,"201,669",0,"201,669",0.74%,"43,332.26",,,
0x8105e062d6b94c951e93739aee33018bd6a6d1c7,"187,001",0,"187,001",0.69%,"40,180.62",,,
0x5a5896e14152e985bb8bc6901b5eaee2c36c24d5,"172,279",0,"172,279",0.64%,"37,017.35",,,
0x6ffb400bf628e1bc43d96bce456660ab9a99b754,"158,373",0,"158,373",0.58%,"34,029.30",,,
0xfd0d9bdb7f073a6ebc9ab0d46c53bcf3f2e46ad3,"157,627",0,"157,627",0.58%,"33,869.03",,,
0x38fc02ddfd5e39136b170e807c324ace4180181e,"150,258",0,"150,258",0.55%,"32,285.82",,,
0x5bf7e6e4e4aef3580f8b4fdce45c70a8e16c9f09,"138,708",0,"138,708",0.51%,"29,804.06",,,
0x483e9c78cff1c1abda5bf1b974ac9a8bd864f59f,"131,606",0,"131,606",0.49%,"28,277.92",,,
0x2f463642fa60cb1f1fd1c57af25b34b7a9a99586,"121,892",0,"121,892",0.45%,"26,190.85",,,
0x86a031dec4dd2fcae1cc9b3bac5d28b09ad97021,"119,860",0,"119,860",0.44%,"25,754.06",,,
0xea5203f21e72941f10e591337a74eacc441eb75c,"114,139",0,"114,139",0.42%,"24,524.96",,,
0xd02bb053d506e31f91285fa9dc7c9e58179c17ee,"106,529",0,"106,529",0.39%,"22,889.70",,,
0x2a2f833df877ee79bc60ff16504f9a6442ba2036,"105,112",0,"105,112",0.39%,"22,585.25",,,
0x0306b4dd46e0878e40c569f4cb13480d1e1ce470,"104,050",0,"104,050",0.38%,"22,357.07",,,
0xcf0c0a1e3b43f1787997010b96035e36733421ae,"102,697",0,"102,697",0.38%,"22,066.31",,,
0xe33e0f2d0e9553c9a45264676e29e115ef18f9b8,"102,294",0,"102,294",0.38%,"21,979.85",,,
0xc01522551e14513515bb96702e2b6a1ccfee5d47,"100,781",0,"100,781",0.37%,"21,654.61",,,
0xd3034bdc0b7b7168aae7f96f4dda646051635bc7,"99,515",0,"99,515",0.37%,"21,382.72",,,
0x5aedb674019119349abc2e44fb6a9624ff9d1757,"96,786",0,"96,786",0.36%,"20,796.26",,,
0x36fade4265f66cedf0947422a3f34675acd8dc46,"94,806",0,"94,806",0.35%,"20,370.93",,,
0xa6a53341eaa1db95699e8d038ed6aa5b9768c7a6,"94,671",0,"94,671",0.35%,"20,341.81",,,
0x3af396db5b8e6575a74b636187ffe4d1cb56013b,"89,407",0,"89,407",0.33%,"19,210.81",,,
0xbe9ef56539ce242e28f0e8bfed7d55d2ced0ddd2,"88,537",0,"88,537",0.33%,"19,023.89",,,
0x3a15cac48a2fd24f5c480e2d0a97d388ac418c02,"87,097",0,"87,097",0.32%,"18,714.41",,,
0xae0f77c239f72da36d4da20a4bbdaae4ca48e03f,"84,255",0,"84,255",0.31%,"18,103.72",,,
0xaaac34d30d6938787c653aafb922bc20bfa9c512,"80,567",0,"80,567",0.30%,"17,311.44",,,
0xf4b36bc19d94578de4c25f9013fd0c6fa5badb00,"77,676",0,"77,676",0.29%,"16,690.05",,,
0x037f70a6db99fb7556d319ee21297ac423f98f5b,"76,994",0,"76,994",0.28%,"16,543.51",,,
0xa0f80b73e5c3855c0567cc998668e2dce40dcc02,"76,540",0,"76,540",0.28%,"16,446.11",,,
0x2367c3fecfcee58618011ca10ae6c1c4ff33d130,"75,537",0,"75,537",0.28%,"16,230.44",,,
0x6325246e88510d64dbdf10ca77095f06c5ca8735,"69,695",0,"69,695",0.26%,"14,975.34",,,
0xb495023d8eb9526d8ec346703f2cff12f2a6963d,"65,862",0,"65,862",0.24%,"14,151.60",,,
0xf46d3a64d546d9cec0883e5fbba04583363df24c,"64,115",0,"64,115",0.24%,"13,776.34",,,
0x61ad8c37aaa95960097bf4e72ad3c22de94f5c86,"62,535",0,"62,535",0.23%,"13,436.88",,,
0x5d9ac7a6df81b63d61e58facf04c60881f59c1c3,"62,366",0,"62,366",0.23%,"13,400.48",,,
0x424d5011484dd4abf2e52a5406bf225b1f50023b,"61,246",0,"61,246",0.23%,"13,159.92",,,
0xb92246136f049607423b4c986302d407aef91a17,"58,828",0,"58,828",0.22%,"12,640.36",,,
0x7c88c73f45338e7ee38b246082ab85297f5de5f1,"58,440",0,"58,440",0.22%,"12,556.96",,,
0x2cc811f170c4c478ce26f38ba24dc2fabb9a5b17,"58,129",0,"58,129",0.21%,"12,490.06",,,
0x386cd21f45108cf4105fb93b9cf13f3870b8c0ea,"56,672",0,"56,672",0.21%,"12,176.93",,,
0xc7c1b169a8d3c5f2d6b25642c4d10da94ffcd3c9,"55,484",0,"55,484",0.20%,"11,921.86",,,
0xcf7a691ca14e7d840207ff22c47d78757e3479ab,"55,121",0,"55,121",0.20%,"11,843.72",,,
0x718f06a344bfecf6664d8d329a14dc9bb8ff2246,"51,231",0,"51,231",0.19%,"11,007.87",,,
0xd6e8f087bd2f6ae4528f89928cf39ccb103cab93,"48,196",0,"48,196",0.18%,"10,355.81",,,
0x709656752ee57c34b6c9462e598b593b71492da6,"47,766",0,"47,766",0.18%,"10,263.35",,,
0xc7cd1489c56dcc120ec7e9bff3737886b5a39968,"47,024",0,"47,024",0.17%,"10,103.93",,,
0x8507c2eb02355a2a480698274eee14d8b3813d89,"46,575",0,"46,575",0.17%,"10,007.58",,,
0x294b8de010b117c48ea93a4caf3fb02acbd06ae8,"45,940",0,"45,940",0.17%,"9,871.16",,,
0xdf9173bb4bb2184acb39638963736f70dbea8632,"45,482",0,"45,482",0.17%,"9,772.75",,,
0xdb6adb08cd839521ce471845d099b26e2d006894,"43,915",0,"43,915",0.16%,"9,435.94",,,
0x8a4c09751e70a529b920ee10c729dfdeeae090f4,"42,794",0,"42,794",0.16%,"9,195.11",,,
0x3efed426257b1493e4fad8f54361649642f5b43e,"40,172",0,"40,172",0.15%,"8,631.81",,,
0xfec4846540c01c6805b205cf1d776adab437fcdd,"38,708",0,"38,708",0.14%,"8,317.05",,,
0xb73f58bccef526e26392b7c6ace5d11509274328,"38,691",0,"38,691",0.14%,"8,313.46",,,
0x18c23d69720b2fcb36e1293f53655a5a99822301,"37,747",0,"37,747",0.14%,"8,110.74",,,
0x65877be34c0c3c3a317d97028fd91bd261410026,"37,545",0,"37,545",0.14%,"8,067.23",,,
0x7d6f06f2129dfde6b87e65528f35e6c475f02604,"36,695",0,"36,695",0.14%,"7,884.68",,,
0xce31835e3e9ebb9940fca7589eff141ccc4fbe6a,"34,937",0,"34,937",0.13%,"7,506.84",,,
0xe45f9f386c342415bcb0e27e94398071e6b84263,"34,635",0,"34,635",0.13%,"7,441.97",,,
0xcc7dd6d4d632c52694c574b79ad2a9131b9e0fd7,"15,432","18,518","33,950",0.13%,"7,294.84",,,
0x4d180af22cd72b8c6593656a0e123e0c4760e6ac,"33,562",0,"33,562",0.12%,"7,211.38",,,
0x7a43e8329a728e3265da540eba7cee753e658622,"32,749",0,"32,749",0.12%,"7,036.80",,,
